Unnamed: 0,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
5,2020-05-19 04:00:51,3374.0,769.0,en,"Atlanta, GA",1.0,OhManItsBran,Niggas got tired of social distancing and just decided Covid was over,1.262594040811397e+18,0.0,[],Niggas got tired of social distancing and just decided Covid was over,"['nigga', 'got', 'tire', 'social', 'distanc', 'decid', 'covid']"
27,2020-05-19 04:04:28,10030.0,137.0,en,New Jersey,0.0,jayne_duncan,"People mad about covid social distancing laws lasting longer than they expected were never told ""no"" as children",1.2625949510675988e+18,0.0,[],"People mad about covid social distancing laws lasting longer than they expected were never told ""no"" as children","['peopl', 'mad', 'covid', 'social', 'distanc', 'law', 'last', 'longer', 'expect', 'never', 'told', '``', ""''"", 'children']"
10,2020-05-19 04:05:33,52843.0,120.0,en,"New York, NY",0.0,Xenatarx,"Post Covid there won’t be anymore food/Halal trucks in NYC. Office will be redesigned to have 6 feet social distancing. Open office will disappear, remote will be the new norm. Big conferences will be reduced to few people, sales will tank as results.",1.2625952201155256e+18,0.0,[],"Post Covid there wont be anymore food/Halal trucks in NYC. Office will be redesigned to have feet social distancing. Open office will disappear, remote will be the new norm. Big conferences will be reduced to few people, sales will tank as results.","['post', 'covid', 'wont', 'anymor', 'food/hal', 'truck', 'nyc', 'offic', 'redesign', 'feet', 'social', 'distanc', 'open', 'offic', 'disappear', 'remot', 'new', 'norm', 'big', 'confer', 'reduc', 'peopl', 'sale', 'tank', 'result']"
43,2020-05-19 04:06:57,14656.0,140.0,en,"Michigan, USA",455.0,AnntheMann987,"RT @Timcast: Nearly 90,000 Americans have been killed by coronavirus, and this CNN reporter is defending not practicing social distancing i…",1.2625955756247204e+18,0.0,[],": Nearly Americans have been killed by coronavirus, and this CNN reporter is defending not practicing social distancing i","[':', 'nearli', 'american', 'kill', 'coronaviru', 'cnn', 'report', 'defend', 'practic', 'social', 'distanc']"
1,2020-05-19 04:07:43,72832.0,3496.0,en,United States,0.0,purplemamabear,@KellyMDoran @NLIHC Question do you know how they are funding this? Is it through CARES dollars? I know we are utilizing hotels for inds experiencing homelessness if positive 4 COVID and only for those inds. We’ve had inds &amp; families pushed out due to social distancing in shelters but these 1/,1.26259576672136e+18,0.0,[],Question do you know how they are funding this? Is it through CARES dollars? I know we are utilizing hotels for inds experiencing homelessness if positive COVID and only for those inds. Weve had inds &amp; families pushed out due to social distancing in shelters but these /,"['question', 'know', 'fund', 'Is', 'care', 'dollar', 'know', 'util', 'hotel', 'ind', 'experienc', 'homeless', 'posit', 'covid', 'ind', 'weve', 'ind', '&', 'amp', 'famili', 'push', 'due', 'social', 'distanc', 'shelter', '/']"
28,2020-05-19 04:09:12,97.0,28.0,en,"Nashville, TN",6976.0,maryhelenbreen,"RT @rogerwaters: Social distancing is a necessary evil in Covid world. Watching ""Mother"" reminds me just how irreplaceable the joy of being…",1.2625961421031752e+18,0.0,[],": Social distancing is a necessary evil in Covid world. Watching ""Mother"" reminds me just how irreplaceable the joy of being","[':', 'social', 'distanc', 'necessari', 'evil', 'covid', 'world', 'watch', '``', 'mother', ""''"", 'remind', 'irreplac', 'joy']"
36,2020-05-19 04:09:34,126270.0,14529.0,en,"Berkeley, CA",25.0,taiping2,"RT @Bob_Wachter: 15/ Gawande highlights four pillars to battling Covid, particularly as we move to end the lockdowns: distancing, frequent…",1.2625962349774807e+18,0.0,[],": / Gawande highlights four pillars to battling Covid, particularly as we move to end the lockdowns: distancing, frequent","[':', '/', 'gawand', 'highlight', 'four', 'pillar', 'battl', 'covid', 'particularli', 'move', 'end', 'lockdown', ':', 'distanc', 'frequent']"
7,2020-05-19 04:14:05,84385.0,30796.0,en,Arkansas,0.0,LeeHillerLondon,🌸✋🌼😷💮👐🌸😷🌼✋💮 #facemasks #facemasks4all #gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing #Quarantine CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of #covid19,1.2625973709713736e+18,0.0,"['facemasks', 'facemasks4all', 'gifts', 'shoppingonline', 'healthandsafety', 'onlineshopping', 'socialdistancing', 'Quarantine', 'covid19']",CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of,"['cdc', 'recommend', 'use', 'cloth', 'face', 'cover', 'supplement', 'social', 'distanc', 'fight', 'spread']"
4,2020-05-19 04:19:10,789.0,436.0,en,"South Carolina, USA",0.0,Digital_Papyrus,Thought they were only using 2/3 seats for distancing #airline #COVID19,1.2625986509597368e+18,0.0,"['airline', 'COVID19']",Thought they were only using /3 seats for distancing,"['thought', 'use', '/3', 'seat', 'distanc']"
6,2020-05-19 04:27:38,1145.0,253.0,en,USA,24.0,Ramsey2k18,"RT @gulf_news: #Coronavirus: CCTV cameras to monitor people’s temperature, social distancing in #Dubai",1.2626007782685655e+18,0.0,"['Coronavirus', 'Dubai']",": : CCTV cameras to monitor peoples temperature, social distancing in","[':', ':', 'cctv', 'camera', 'monitor', 'peopl', 'temperatur', 'social', 'distanc']"
