,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
0,0,0,0,2020-05-19 04:00:26,31357.0,308.0,en,"San Diego, CA",0.0,GrauszEva,What kind of face mask will best protect you against coronavirus? | Coronavirus outbreak | The Guardian,1.2625939352533893e+18,0.0,[],What kind of face mask will best protect you against coronavirus? | Coronavirus outbreak | The Guardian,"['what', 'kind', 'face', 'mask', 'best', 'protect', 'coronaviru', '|', 'coronaviru', 'outbreak', '|', 'the', 'guardian']"
1,1,1,1,2020-05-19 04:00:14,83668.0,195.0,en,"Pennsylvania, USA",99.0,Tech__Nick,"RT @Halalcoholism: *sees covid death toll continue to rise* I mean life wasn’t meant to be easy, people die *is forced to wear a mask o…",1.262593882803655e+18,0.0,[],": *sees covid death toll continue to rise* I mean life wasnt meant to be easy, people die *is forced to wear a mask o","[':', '*', 'see', 'covid', 'death', 'toll', 'continu', 'rise', '*', 'mean', 'life', 'wasnt', 'meant', 'easi', 'peopl', 'die', '*', 'forc', 'wear', 'mask']"
2,2,2,2,2020-05-19 04:00:40,29136.0,5740.0,en,"New York, NY",0.0,RMFreedom,"*Update on Coronavirus* there are over 1,537,830 confirmed cases of coronavirus and 90,694 confirmed deaths. Please Stay home my brothers and sisters resisters, this is not over by a long shot. Wear a mask, social distance and stay at home where is safe.",1.2625939952151757e+18,0.0,[],"*Update on Coronavirus* there are over confirmed cases of coronavirus and confirmed deaths. Please Stay home my brothers and sisters resisters, this is not over by a long shot. Wear a mask, social distance and stay at home where is safe.","['*', 'updat', 'coronaviru', '*', 'confirm', 'case', 'coronaviru', 'confirm', 'death', 'pleas', 'stay', 'home', 'brother', 'sister', 'resist', 'long', 'shot', 'wear', 'mask', 'social', 'distanc', 'stay', 'home', 'safe']"
3,3,3,3,2020-05-19 04:02:35,141365.0,1283.0,en,"California, USA",0.0,bluebird0088,@ddoxpile @Wendy45_46 @RealMattCouch A covering over your mouth reduces your ability to spread the virus via droplets coming out of your mouth. Because anyone can be asymptotic and infected with COVID we don’t know who is or isn’t sick. If we all wear masks when out it decreases infection risk. Fact.,1.2625944763729715e+18,0.0,[],A covering over your mouth reduces your ability to spread the virus via droplets coming out of your mouth. Because anyone can be asymptotic and infected with COVID we dont know who is or isnt sick. If we all wear masks when out it decreases infection risk. Fact.,"['A', 'cover', 'mouth', 'reduc', 'abil', 'spread', 'viru', 'via', 'droplet', 'come', 'mouth', 'becaus', 'anyon', 'asymptot', 'infect', 'covid', 'dont', 'know', 'isnt', 'sick', 'If', 'wear', 'mask', 'decreas', 'infect', 'risk', 'fact']"
4,4,4,4,2020-05-19 04:02:43,33209.0,2557.0,en,"California, USA",0.0,weezer04664334,Coronavirus: Why wearing masks to prevent virus is dangerous,1.2625945099273544e+18,0.0,[],Coronavirus: Why wearing masks to prevent virus is dangerous,"['coronaviru', ':', 'whi', 'wear', 'mask', 'prevent', 'viru', 'danger']"
5,5,5,5,2020-05-19 04:03:01,38640.0,4286.0,en,United States,0.0,70sChickadee,"@BillTzamaras I asked the same question last week. Then they showed him a few days later, I don't remember where he was, but I think he was wearing a mask? Still, he hasn't made too many public appearances, so one has to question..what's up w/him? #COVID19 #TrumpPandemic",1.2625945861129298e+18,0.0,"['COVID19', 'TrumpPandemic']","I asked the same question last week. Then they showed him a few days later, I don't remember where he was, but I think he was wearing a mask? Still, he hasn't made too many public appearances, so one has to question..what's up w/him?","['ask', 'question', 'last', 'week', 'then', 'show', 'day', 'later', ""n't"", 'rememb', 'think', 'wear', 'mask', 'still', ""n't"", 'made', 'mani', 'public', 'appear', 'one', 'question', '..', ""'s"", 'w/him']"
6,6,6,6,2020-05-19 04:03:57,81084.0,1782.0,en,"California, USA",240.0,gailyRN,"RT @KwikWarren: Brian Williams just made a very strong point: trump refuses to wear a mask, downplays the extent/impact of coronavirus...ye…",1.2625948204444795e+18,0.0,[],": Brian Williams just made a very strong point: trump refuses to wear a mask, downplays the extent/impact of coronavirus...ye","[':', 'brian', 'william', 'made', 'strong', 'point', ':', 'trump', 'refus', 'wear', 'mask', 'downplay', 'extent/impact', 'coronaviru', '...', 'ye']"
7,7,7,7,2020-05-19 04:05:51,5485.0,1257.0,en,"Seattle (via Durango, CO).",17.0,neylano,"RT @jjboggs: The latest @IHME_UW coronavirus model is in, and the results surprised IHME director Chris Murray, who said mask-wearing might…",1.2625952964348723e+18,0.0,[],": The latest coronavirus model is in, and the results surprised IHME director Chris Murray, who said mask-wearing might","[':', 'the', 'latest', 'coronaviru', 'model', 'result', 'surpris', 'ihm', 'director', 'chri', 'murray', 'said', 'mask-wear', 'might']"
8,8,8,8,2020-05-19 04:05:55,146501.0,3843.0,en,"Aubrey, TX",5971.0,Americancrawl,RT @latimes: Virtually the entire population of Hong Kong wore masks voluntarily from the beginning. They have had four COVID deaths. From…,1.262595312327295e+18,0.0,[],: Virtually the entire population of Hong Kong wore masks voluntarily from the beginning. They have had four COVID deaths. From,"[':', 'virtual', 'entir', 'popul', 'hong', 'kong', 'wore', 'mask', 'voluntarili', 'begin', 'they', 'four', 'covid', 'death', 'from']"
9,9,9,9,2020-05-19 04:07:05,46450.0,1085.0,en,"Fayetteville, NC",0.0,tweedlealice,"@vexedvixen17 @formulalol Wear a mask. W COVID, I’ll be happy w everyone getting house arrest. They’re all too old to spend time in prison. I want justice, not blood. If Epstein’s black book was found, a lot of ppl would be in jail for molesting underage girls-statutory rape. They can go to jail.",1.2625956086590054e+18,0.0,[],"Wear a mask. W COVID, Ill be happy w everyone getting house arrest. Theyre all too old to spend time in prison. I want justice, not blood. If Epsteins black book was found, a lot of ppl would be in jail for molesting underage girls-statutory rape. They can go to jail.","['wear', 'mask', 'W', 'covid', 'ill', 'happi', 'w', 'everyon', 'get', 'hous', 'arrest', 'theyr', 'old', 'spend', 'time', 'prison', 'want', 'justic', 'blood', 'If', 'epstein', 'black', 'book', 'found', 'lot', 'ppl', 'would', 'jail', 'molest', 'underag', 'girls-statutori', 'rape', 'they', 'go', 'jail']"
