,Unnamed: 0,tweet_id,date,screen_name,location,tweet,retweet_count,favourites_count,hashtags,clean_tweet,processed_tweet,followers_count,language,verified
0,0,1287828156766990337,2020-07-27,annaforflorida,,The more people who wear a mask the sooner we can get through #COVID19 and the more lives saved!! …,20,125,['COVID19'],The more people who wear a mask the sooner we can get through and the more lives saved!!,"['the', 'peopl', 'wear', 'mask', 'sooner', 'get', 'live', 'save', '!', '!']",0,en,
1,1,1287743809443565568,2020-07-27,votemckinlay,,Breaking News: Judge orders #PalmBeachCounty mask order is indeed constitutional. @pbcgov @flcounties @NACoTweets @Fla_Pol @pbpost @SunSentinel @politicofl #WearYourMaskFL #WearADamnMask #COVID19 pic.twitter.com/1QD6rYxKTN,145,391,"['PalmBeachCounty', 'WearYourMaskFL', 'WearADamnMask', 'COVID19']",Breaking News: Judge orders mask order is indeed constitutional.,"['break', 'new', ':', 'judg', 'order', 'mask', 'order', 'inde', 'constitut']",0,en,
2,2,1287680365960859648,2020-07-27,kpattersonwavy,WAVY-TV 10 Studios,"“People are not social distancing. They’re not wearing their masks and individuals are having parties...” -@GovernorVA Ralph Northam In a one- on- one interview, the Governor tells me he is closely watching #HamptonRoads as #COVID19 cases increase. @WAVY_News pic.twitter.com/CSM9u7AeBA – at WAVY-TV 10 Studios",22,35,"['HamptonRoads', 'COVID19']","People are not social distancing. Theyre not wearing their masks and individuals are having parties... - Ralph Northam In a one- on- one interview, the Governor tells me he is closely watching as cases increase. at WAVY-TV Studios","['peopl', 'social', 'distanc', 'theyr', 'wear', 'mask', 'individu', 'parti', '...', '-', 'ralph', 'northam', 'In', 'one-', 'on-', 'one', 'interview', 'governor', 'tell', 'close', 'watch', 'case', 'increas', 'wavy-tv', 'studio']",0,en,
3,3,1287890638541852672,2020-07-27,ashtonpittman,,"In late June, Herman Cain attended a Trump rally with 6,000 people. On July 1, he tweeted that ""PEOPLE ARE FED UP!"" with mask mandates. Since July 2, he has been hospitalized with a severe case of #COVID19. …",10,27,['COVID19'],"In late June, Herman Cain attended a Trump rally with people. On July , he tweeted that ""PEOPLE ARE FED UP!"" with mask mandates. Since July , he has been hospitalized with a severe case of .","['In', 'late', 'june', 'herman', 'cain', 'attend', 'trump', 'ralli', 'peopl', 'On', 'juli', 'tweet', '``', 'peopl', 'are', 'fed', 'UP', '!', ""''"", 'mask', 'mandat', 'sinc', 'juli', 'hospit', 'sever', 'case']",0,en,
4,4,1287690096632897536,2020-07-27,nourornever,,"This ugly, evil, and newly masked man #MoscowMassacreMitch betrays us. He’s trying to strip us of our healthcare during a pandemic. He doesn’t care if we have $ to pay rent, or buy food. He doesn’t care if we suffer, live or die. #lGOPGestapo #PortlandProtests #COVID19 #VoteBlue …",2,2,"['MoscowMassacreMitch', 'lGOPGestapo', 'PortlandProtests', 'COVID19', 'VoteBlue']","This ugly, evil, and newly masked man betrays us. Hes trying to strip us of our healthcare during a pandemic. He doesnt care if we have $ to pay rent, or buy food. He doesnt care if we suffer, live or die.","['thi', 'ugli', 'evil', 'newli', 'mask', 'man', 'betray', 'us', 'he', 'tri', 'strip', 'us', 'healthcar', 'pandem', 'He', 'doesnt', 'care', '$', 'pay', 'rent', 'buy', 'food', 'He', 'doesnt', 'care', 'suffer', 'live', 'die']",0,en,
5,5,1287620139454730240,2020-07-27,wrash,,I wonder if @GovernorVA would be interested to know that @FoodLion Lynchburg VA Boonsboro store refuses to enforce mask requirement saying “upper management” said they don’t have to. #covid19 #disease #liability,1,2,"['covid19', 'disease', 'liability']",I wonder if would be interested to know that Lynchburg VA Boonsboro store refuses to enforce mask requirement saying upper management said they dont have to.,"['wonder', 'would', 'interest', 'know', 'lynchburg', 'VA', 'boonsboro', 'store', 'refus', 'enforc', 'mask', 'requir', 'say', 'upper', 'manag', 'said', 'dont']",0,en,
6,6,1285776402667773957,2020-07-21,bwhippleks,,"Today, the County's top medical officer issued an order to close bars & limit gatherings to 15 until Sept 9th due to #Covid19 spikes We tried so hard at the city level to get in front of this with the mask ordinance. No one wants a shutdown of any kind. Our kids need school. 1/3",14,122,['Covid19'],"Today, the County's top medical officer issued an order to close bars & limit gatherings to until Sept th due to spikes We tried so hard at the city level to get in front of this with the mask ordinance. No one wants a shutdown of any kind. Our kids need school. /3","['today', 'counti', ""'s"", 'top', 'medic', 'offic', 'issu', 'order', 'close', 'bar', '&', 'limit', 'gather', 'sept', 'th', 'due', 'spike', 'We', 'tri', 'hard', 'citi', 'level', 'get', 'front', 'mask', 'ordin', 'No', 'one', 'want', 'shutdown', 'kind', 'our', 'kid', 'need', 'school', '/3']",0,en,
7,7,1285710060367249408,2020-07-21,patrickbrownont,,"Encouraging that #Brampton had our lowest number of #COVID19 cases in a long time. We only had 8 cases yesterday. Let’s keep it up everyone. Wear a mask, wash your hands & maintain physical distance when necessary. pic.twitter.com/6vsgzTLdIb",32,240,"['Brampton', 'COVID19']","Encouraging that had our lowest number of cases in a long time. We only had cases yesterday. Lets keep it up everyone. Wear a mask, wash your hands & maintain physical distance when necessary.","['encourag', 'lowest', 'number', 'case', 'long', 'time', 'We', 'case', 'yesterday', 'let', 'keep', 'everyon', 'wear', 'mask', 'wash', 'hand', '&', 'maintain', 'physic', 'distanc', 'necessari']",0,en,
8,8,1285566409058275330,2020-07-21,lawrencegostin,,"Does photo remind you of today’s populist claims of “my” freedom? What if #COVID19 response was about the “we” not the “me”? We’re all asked to do little things to protect one another: social distance, masks, hygiene. This isn’t Nanny State. It’s looking out for one another. pic.twitter.com/g6lUX18xDn",13,24,['COVID19'],"Does photo remind you of todays populist claims of my freedom? What if response was about the we not the me? Were all asked to do little things to protect one another: social distance, masks, hygiene. This isnt Nanny State. Its looking out for one another.","['doe', 'photo', 'remind', 'today', 'populist', 'claim', 'freedom', 'what', 'respons', 'were', 'ask', 'littl', 'thing', 'protect', 'one', 'anoth', ':', 'social', 'distanc', 'mask', 'hygien', 'thi', 'isnt', 'nanni', 'state', 'it', 'look', 'one', 'anoth']",0,en,
9,9,1285597751561146368,2020-07-21,derekcrim,,"Hey everyone in #Ontario: just do less stuff. Go out less. See fewer people. Do a couple fewer things in your daily life. Wear your masks, keep distance, and don’t congregate in groups. Signed, Someone who would like to avoid another #COVID19 lockdown.",2,46,"['Ontario', 'COVID19']","Hey everyone in : just do less stuff. Go out less. See fewer people. Do a couple fewer things in your daily life. Wear your masks, keep distance, and dont congregate in groups. Signed, Someone who would like to avoid another lockdown.","['hey', 'everyon', ':', 'less', 'stuff', 'Go', 'less', 'see', 'fewer', 'peopl', 'Do', 'coupl', 'fewer', 'thing', 'daili', 'life', 'wear', 'mask', 'keep', 'distanc', 'dont', 'congreg', 'group', 'sign', 'someon', 'would', 'like', 'avoid', 'anoth', 'lockdown']",0,en,
