date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
2020-02-24 06:17:36,162246.0,2964.0,en,"Nashville, TN",1.0,Pinandpuller,"RT @RichardZolotor: @Laurie_Garrett Actually, social distancing worked in Wuhan. They put everyone in their own houses and never let them…",1.2318254855056837e+18,0.0,[],": Actually, social distancing worked in Wuhan. They put everyone in their own houses and never let them","[':', 'actual', 'social', 'distanc', 'work', 'wuhan', 'they', 'put', 'everyon', 'hous', 'never', 'let']"
2020-02-14 12:00:49,8207.0,568.0,en,NYC,0.0,brooklyncybele,"@juliettekayyem @JenniferJJacobs “Coronavirus disease (COVID-19) advice for the public: Maintain social distancing Maintain at least 1 metre (3 feet) distance between yourself and other people, particularly those who are coughing, sneezing and have a fever.”",1.228287981330608e+18,0.0,[],"Coronavirus disease (COVID-19) advice for the public: Maintain social distancing Maintain at least metre (3 feet) distance between yourself and other people, particularly those who are coughing, sneezing and have a fever.","['coronaviru', 'diseas', 'covid-19', 'advic', 'public', ':', 'maintain', 'social', 'distanc', 'maintain', 'least', 'metr', '3', 'feet', 'distanc', 'peopl', 'particularli', 'cough', 'sneez', 'fever']"
2020-02-16 07:48:19,3437.0,2117.0,en,California,2.0,thejgal,I wondered if it could be transferred with paper! I saw a video where merchants were distancing themselves from customers BUT accepting their cash with a claw stick. SMART transactions should be cashless!! #Currency #china #coronavirus #StayHealthy,1.2289492126681866e+18,0.0,"['Currency', 'china', 'coronavirus', 'StayHealthy']",I wondered if it could be transferred with paper! I saw a video where merchants were distancing themselves from customers BUT accepting their cash with a claw stick. SMART transactions should be cashless!!,"['wonder', 'could', 'transfer', 'paper', '!', 'saw', 'video', 'merchant', 'distanc', 'custom', 'but', 'accept', 'cash', 'claw', 'stick', 'smart', 'transact', 'cashless', '!', '!']"
2020-02-09 05:17:39,8060.0,56.0,en,"Washington, DC",1991.0,SallyPo72969672,RT @HawleyMO: #china communist party tries distancing itself from #coronavirus. Won’t work. They own this - now a global health crisis. CCP…,1.226374581675602e+18,0.0,"['china', 'coronavirus']",: communist party tries distancing itself from . Wont work. They own this - now a global health crisis. CCP,"[':', 'communist', 'parti', 'tri', 'distanc', 'wont', 'work', 'they', '-', 'global', 'health', 'crisi', 'ccp']"
2020-02-25 05:29:54,9700.0,212975.0,en,"New York, NY",66.0,Laurie_Garrett,Put the Qom imams' rejection of quarantine and social distancing together with the South Korea religious cult and BINGO -- #COVID19 out of control. Not good to mix religion with epidemic control,1.232175868094636e+18,1.0,['COVID19'],Put the Qom imams' rejection of quarantine and social distancing together with the South Korea religious cult and BINGO -- out of control. Not good to mix religion with epidemic control,"['put', 'qom', 'imam', 'reject', 'quarantin', 'social', 'distanc', 'togeth', 'south', 'korea', 'religi', 'cult', 'bingo', '--', 'control', 'not', 'good', 'mix', 'religion', 'epidem', 'control']"
2020-02-26 05:00:06,5980.0,124.0,en,United States,0.0,OtagOnline,Just a reminder that the best way to stop the spread of the coronavirus is social distancing.,1.2325307570354053e+18,0.0,[],Just a reminder that the best way to stop the spread of the coronavirus is social distancing.,"['just', 'remind', 'best', 'way', 'stop', 'spread', 'coronaviru', 'social', 'distanc']"
2020-02-19 06:11:11,41776.0,3681.0,en,Seattle area,0.0,scottleibrand,@Delana30183939 @nCoV2019Geoff @trvrb Yep. The key will be keeping people with mildly symptomatic infections at home and avoiding a sharp spike in simultaneous cases like Wuhan got. With appropriate social distancing we should be able to keep the % of population simultaneously seriously ill at well below 0.2%.,1.2300119291768996e+18,0.0,[],Yep. The key will be keeping people with mildly symptomatic infections at home and avoiding a sharp spike in simultaneous cases like Wuhan got. With appropriate social distancing we should be able to keep the % of population simultaneously seriously ill at well below %.,"['yep', 'the', 'key', 'keep', 'peopl', 'mildli', 'symptomat', 'infect', 'home', 'avoid', 'sharp', 'spike', 'simultan', 'case', 'like', 'wuhan', 'got', 'with', 'appropri', 'social', 'distanc', 'abl', 'keep', '%', 'popul', 'simultan', 'serious', 'ill', 'well', '%']"
2020-02-12 06:58:31,406.0,309.0,en,"Seattle, WA",1.0,rapatel,"What policies and practices (sick leave, environmental cleaning, telecommute, social distancing) might your agency use? #2019nCoV #COVID19 #publichealth #preparedness",1.2274871265408328e+18,0.0,"['2019nCoV', 'COVID19', 'publichealth', 'preparedness']","What policies and practices (sick leave, environmental cleaning, telecommute, social distancing) might your agency use?","['what', 'polici', 'practic', 'sick', 'leav', 'environment', 'clean', 'telecommut', 'social', 'distanc', 'might', 'agenc', 'use']"
2020-03-28 15:23:35,2010.0,574.0,en,"New York, NY",2.0,caumike,As social distancing becomes the new normal - how will industries that rely on maximizing space (ie:airlines) adapt to the new normal ? #COVID19 #business #startup #businessmodels #airlines,1.243921686380122e+18,0.0,"['COVID19', 'business', 'startup', 'businessmodels', 'airlines']",As social distancing becomes the new normal - how will industries that rely on maximizing space (ie:airlines) adapt to the new normal ?,"['As', 'social', 'distanc', 'becom', 'new', 'normal', '-', 'industri', 'reli', 'maxim', 'space', 'ie', ':', 'airlin', 'adapt', 'new', 'normal']"
2020-03-28 15:23:44,44716.0,734.0,en,"Detroit, MI",2010.0,daarryyn,"RT @CNN: Former President Obama is urging Americans to continue social distancing in an effort to stem the spread of coronavirus, a noticea…",1.243921724728623e+18,0.0,[],": Former President Obama is urging Americans to continue social distancing in an effort to stem the spread of coronavirus, a noticea","[':', 'former', 'presid', 'obama', 'urg', 'american', 'continu', 'social', 'distanc', 'effort', 'stem', 'spread', 'coronaviru', 'noticea']"
2020-03-28 15:26:38,763.0,131.0,en,The United States of America,0.0,TweeterOther,Do you think ⁦@realDonaldTrump⁩ was watching #LogansRun when he thought of the idea to rebrand the concept of #DeathPanels to stop #COVID19 by hurling the bodies of our elderly into the fire that keeps the economy running? Who needs social distancing when Donald is bored???,1.2439224535392297e+18,0.0,"['LogansRun', 'DeathPanels', 'COVID19']",Do you think was watching when he thought of the idea to rebrand the concept of to stop by hurling the bodies of our elderly into the fire that keeps the economy running? Who needs social distancing when Donald is bored???,"['Do', 'think', 'watch', 'thought', 'idea', 'rebrand', 'concept', 'stop', 'hurl', 'bodi', 'elderli', 'fire', 'keep', 'economi', 'run', 'who', 'need', 'social', 'distanc', 'donald', 'bore']"
2020-03-28 15:26:58,2836.0,3027.0,en,"Nashville, TN",4.0,D6Leader,"RT @NAFWB: During this time of #COVID19 social distancing, @D6Family has made their resources for #discipleship at home (some of them free!…",1.2439225380084e+18,0.0,"['COVID19', 'discipleship']",": During this time of social distancing, has made their resources for at home (some of them free!","[':', 'dure', 'time', 'social', 'distanc', 'made', 'resourc', 'home', 'free', '!']"
2020-03-28 15:28:17,753.0,1084.0,en,"Washington, DC",0.0,JoannDonnellan,"5/ ""Microbes know no borders. There will be a time Boise will face a surge in their health care settings so it's best to prepare both personal protection equipment and to double down on social distancing to reduce the surge before it comes."" #COVID19",1.2439228692031078e+18,0.0,['COVID19'],"/ ""Microbes know no borders. There will be a time Boise will face a surge in their health care settings so it's best to prepare both personal protection equipment and to double down on social distancing to reduce the surge before it comes.""","['/', '``', 'microb', 'know', 'border', 'there', 'time', 'bois', 'face', 'surg', 'health', 'care', 'set', ""'s"", 'best', 'prepar', 'person', 'protect', 'equip', 'doubl', 'social', 'distanc', 'reduc', 'surg', 'come', ""''""]"
2020-03-28 15:29:48,471.0,692.0,en,"Chicago, IL",0.0,AmpBioResearch,"@MSollender Our ""like"" is for the use of consumer (not N95) masks by the public, NOT for easing social distancing too soon. It's not about getting back to ""normal"" ASAP, it's about what we can do to help society in a gradual journal to resemble pre-COVID hopefully by end of summer 2021.",1.2439232508848128e+18,0.0,[],"Our ""like"" is for the use of consumer (not N95) masks by the public, NOT for easing social distancing too soon. It's not about getting back to ""normal"" ASAP, it's about what we can do to help society in a gradual journal to resemble pre-COVID hopefully by end of summer .","['our', '``', 'like', ""''"", 'use', 'consum', 'n95', 'mask', 'public', 'not', 'eas', 'social', 'distanc', 'soon', 'It', ""'s"", 'get', 'back', '``', 'normal', ""''"", 'asap', ""'s"", 'help', 'societi', 'gradual', 'journal', 'resembl', 'pre-covid', 'hope', 'end', 'summer']"
